"AREA","VARIEDADE","DATA DE PODA","DATA DA AMOSTRA","DIAS POS PODA","SEMESTRE","ESTADO DO ENGACO","COLORACAO DO CACHO","BRIX ACIMA DO IDEAL","BRIX DO SUCO","ACIDEZ","BRIX","DIAMETRO"
"A04 V1","RED GLOBE","42800","42901","101","2017.1","MADURO","ROSADA","0.733","13.4","0.77","14.2",""
"B18 V1","BENITAKA M","42786","42901","115","2017.1","VERDE","VERMELHA","0.82","16.2","0.92","16.2",""
"B18 V2","BENITAKA M","42786","42901","115","2017.1","VERDE","VERMELHA","0.82","15.9","0.93","15.9",""
"B18 V2","BENITAKA M","42786","42901","115","2017.1","MADURO","VERMELHA","1","16.2","0.93","16.5",""
"A13 V1","BENITAKA M","42801","42905","104","2017.1","MADURO","VERMELHA","0.916","15.4","1.1","14.4",""
"A13 V2","BENITAKA M","42801","42905","104","2017.1","MADURO","VERMELHA","0.716","14.8","1.1","14.2",""
"B18 V1","BENITAKA M","42788","42906","118","2017.1","MADURO","ROSADA","0.916","15","0.95","15.1",""
"A04 V1","RED GLOBE","42800","42909","109","2017.1","MADURO","ROSADA","0.45","14","0.72","13.5",""
"A04 V2","RED GLOBE","42800","42909","109","2017.1","MADURO","ROSADA","0.254","15","0.71","12.9",""
"A04 V3","SCARLOTA","42775","42912","137","2017.1","MADURO","MESCLADA","0.766","16","0.81","15.5",""
"A04 V4","SCARLOTA","42775","42912","137","2017.1","MADURO","MESCLADA","0.616","15","0.78","15",""
"A13 V1 ","BENITAKA M","42800","42913","113","2017.1","MADURO","VERMELHA","1","16.4","0.96","15.7",""
"A13 V2","BENITAKA M","42801","42913","112","2017.1","MADURO","VERMELHA","1","16.9","0.92","15.9",""
"A13 V1","BENITAKA M","42801","42919","118","2017.2","MADURO","VERMELHA","1","17.2","0.79","17",""
"A15 V1","RED GLOBE","42821","42919","98","2017.2","MADURO","VERMELHA","0.916","15","0.65","15.2",""
"A15 V1","RED GLOBE","42821","42919","98","2017.2","MADURO","VERMELHA","0.48","14","0.65","13.6",""
"A15 V1","RED GLOBE","42821","42923","102","2017.2","MADURO","VERMELHA","0.636","14.4","0.63","13.9",""
"A07 V1","ARRA 15","42842","42926","84","2017.2","MADURO","VERDE","0","12.8","1.8","11.8",""
"A15 V2","RED GLOBE","42821","42926","105","2017.2","MADURO","VERMELHA","0.15","13.4","0.75","12.8",""
"B14 V1","CRIMSON","42828","42926","98","2017.2","MADURO","VERMELHA","0.616","16","1","15.8",""
"B14 V2","CRIMSON","42835","42926","91","2017.2","MADURO","VERMELHA","0","15","1.2","14.1",""
"A07 V1","ARRA 15","42842","42928","86","2017.2","MADURO","VERDE","0","13.6","1.7","12.8",""
"A07 V1","ARRA 15","42842","42933","91","2017.2","MADURO","VERDE","0.166","15","1.4","14.8",""
"A15 V2","RED GLOBE","42821","42933","112","2017.2","MADURO","ROSADA","0.0333","12","0.8","12",""
"B14 V1","CRIMSON","42828","42933","105","2017.2","MADURO","VERMELHA","0.683","17.4","0.9","16.2",""
"B14 V2","CRIMSON","42835","42933","98","2017.2","MADURO","VERMELHA","0.633","16","1","16.1",""
"A07 V1","ARRA 15","42842","42937","95","2017.2","MADURO","VERDE","0.116","15","1.2","14.3",""
"A07 V1","ARRA 15","42842","42940","98","2017.2","MADURO","VERDE","0.116","15.1","1.2","14.9",""
"B14 V1","CRIMSON","42828","42940","112","2017.2","MADURO","VERMELHA","0.85","18.6","0.7","17.3",""
"B14 V2","CRIMSON","42835","42940","105","2017.2","MADURO","VERMELHA","0.933","17.5","0.89","17.8",""
"B14 V1","CRIMSON","42828","42941","113","2017.2","VERDE","VERMELHA","1","18.9","0.78","18.4",""
"B14 V2","CRIMSON","42835","42941","106","2017.2","VERDE","VERMELHA","0.766","17.2","0.9","16.8",""
" A07 V1","ARRA 15","42842","42944","102","2017.2","MADURO","MANCHADA","0.23","16.7","1","16",""
"A07 V1","ARRA 15","42842","42944","102","2017.2","MADURO","VERDE","0.25","15.1","1.1","16.2",""
"A07 V1","ARRA 15","42842","42948","106","2017.2","MADURO","ÂMBAR","0.583","17.2","1.1","17.3",""
"A07 V1","ARRA 15","42842","42948","106","2017.2","MADURO","MANCHADA","0.9","18.3","0.96","18.6",""
"A07 V1","ARRA 15","42842","42951","109","2017.2","MADURO","ÂMBAR","0.75","17.5","1","17.8",""
"A07 V2","ARRA 15","42849","42951","102","2017.2","MADURO","ÂMBAR","0.483","15.7","1.2","16.3",""
"A07 V2","ARRA 15","42849","42954","105","2017.2","MADURO","ÂMBAR","0.824","18.2","1.1","18.3",""
"A07 V1","ARRA 15","42842","42957","115","2017.2","MADURO","ÂMBAR","0.666","18.6","0.92","18.1",""
"A07 V2","ARRA 15","42849","42957","108","2017.2","MADURO","ÂMBAR","0.916","18","1","18.3",""
"A07 V2","ARRA 15","42849","42961","112","2017.2","MADURO","ÂMBAR","0.965","19","0.92","19.6",""
"A07 V3","THOMPSON","42870","42961","91","2017.2","MADURO","ÂMBAR","0","12.6","1.4","12.8",""
"B10 V1","ARRA 15","42871","42961","90","2017.2","MADURO","ÂMBAR","0.166","15","1.3","15.6",""
"A07 V2","ARRA 15","42849","42963","114","2017.2","MADURO","ÂMBAR","0.85","18.6","0.9","18",""
"A07 V3","THOMPSON","42870","42965","95","2017.2","MADURO","ÂMBAR","0.116","14","1.1","14.5",""
"B10 V1","ARRA 15","42871","42965","94","2017.2","MADURO","VERDE","0.316","16","1.2","15.7",""
"A07 V2","ARRA 15","42849","42968","119","2017.2","VERDE","VERDE","0.821","18.2","0.9","19.1",""
"A07 V3","THOMPSON","42870","42968","98","2017.2","MADURO","VERDE","0.133","15","1","15.1",""
"A09 V1","ARRA 15","42878","42968","90","2017.2","MADURO","VERDE","0","12.8","1.7","13.2",""
"B10 V1","ARRA 15","42871","42968","97","2017.2","MADURO","VERDE","0.55","17","1","16.8",""
"B11 V1","SUGRAONE","42885","42968","83","2017.2","MADURO","VERDE","0","10.8","0.9","10.1",""
"B13 V1","SUGRAONE","42884","42968","84","2017.2","MADURO","VERDE","0.0166","11.8","0.9","11.3",""
"B05 V1","CRIMSON","42863","42970","107","2017.2","MADURO","VERMELHA","0.95","18","0.86","17.4",""
"B05 V2","CRIMSON","42865","42970","105","2017.2","MADURO","VERMELHA","0.933","17.4","0.9","16.6",""
"B07 V1","SABLE","42879","42971","92","2017.2","MADURO","PRETA","0.5","16.6","0.7","16.6",""
"A07 V3","THOMPSON","42870","42972","102","2017.2","MADURO","ÂMBAR","0.183","16.2","0.91","15.7",""
"A09 V1","ARRA 15","42878","42972","94","2017.2","MADURO","ÂMBAR","0.0166","14","1.4","13.6",""
"B10 V1","ARRA 15","42871","42972","101","2017.2","MADURO","ÂMBAR","0.783","18.2","0.86","17.6",""
"B11 V1","SUGRAONE","42885","42972","87","2017.2","MADURO","ÂMBAR","0","12","0.71","11.3",""
