"AREA","VARIEDADE","DATA DE PODA","DATA DA AMOSTRA","DIAS POS PODA","SEMESTRE","ESTADO DO ENGACO","COLORACAO DO CACHO","BRIX ACIMA DO IDEAL","BRIX DO SUCO","ACIDEZ","BRIX","DIAMETRO"
"A04 V1","RED GLOBE","3/6/2017","6/15/2017","101","2017.1","MADURO","ROSADA","0.733","13.4","0.77","14.2",""
"B18 V1","BENITAKA M","2/20/2017","6/15/2017","115","2017.1","VERDE","VERMELHA","0.82","16.2","0.92","16.2",""
"B18 V2","BENITAKA M","2/20/2017","6/15/2017","115","2017.1","VERDE","VERMELHA","0.82","15.9","0.93","15.9",""
"B18 V2","BENITAKA M","2/20/2017","6/15/2017","115","2017.1","MADURO","VERMELHA","1","16.2","0.93","16.5",""
"A13 V1","BENITAKA M","3/7/2017","6/19/2017","104","2017.1","MADURO","VERMELHA","0.916","15.4","1.1","14.4",""
"A13 V2","BENITAKA M","3/7/2017","6/19/2017","104","2017.1","MADURO","VERMELHA","0.716","14.8","1.1","14.2",""
"B18 V1","BENITAKA M","2/22/2017","6/20/2017","118","2017.1","MADURO","ROSADA","0.916","15","0.95","15.1",""
"A04 V1","RED GLOBE","3/6/2017","6/23/2017","109","2017.1","MADURO","ROSADA","0.45","14","0.72","13.5",""
"A04 V2","RED GLOBE","3/6/2017","6/23/2017","109","2017.1","MADURO","ROSADA","0.254","15","0.71","12.9",""
"A04 V3","SCARLOTA","2/9/2017","6/26/2017","137","2017.1","MADURO","MESCLADA","0.766","16","0.81","15.5",""
"A04 V4","SCARLOTA","2/9/2017","6/26/2017","137","2017.1","MADURO","MESCLADA","0.616","15","0.78","15",""
"A13 V1 ","BENITAKA M","3/6/2017","6/27/2017","113","2017.1","MADURO","VERMELHA","1","16.4","0.96","15.7",""
"A13 V2","BENITAKA M","3/7/2017","6/27/2017","112","2017.1","MADURO","VERMELHA","1","16.9","0.92","15.9",""
"A13 V1","BENITAKA M","3/7/2017","7/3/2017","118","2017.2","MADURO","VERMELHA","1","17.2","0.79","17",""
"A15 V1","RED GLOBE","3/27/2017","7/3/2017","98","2017.2","MADURO","VERMELHA","0.916","15","0.65","15.2",""
"A15 V1","RED GLOBE","3/27/2017","7/3/2017","98","2017.2","MADURO","VERMELHA","0.48","14","0.65","13.6",""
"A15 V1","RED GLOBE","3/27/2017","7/7/2017","102","2017.2","MADURO","VERMELHA","0.636","14.4","0.63","13.9",""
"A07 V1","ARRA 15","4/17/2017","7/10/2017","84","2017.2","MADURO","VERDE","0","12.8","1.8","11.8",""
"A15 V2","RED GLOBE","3/27/2017","7/10/2017","105","2017.2","MADURO","VERMELHA","0.15","13.4","0.75","12.8",""
"B14 V1","CRIMSON","4/3/2017","7/10/2017","98","2017.2","MADURO","VERMELHA","0.616","16","1","15.8",""
"B14 V2","CRIMSON","4/10/2017","7/10/2017","91","2017.2","MADURO","VERMELHA","0","15","1.2","14.1",""
"A07 V1","ARRA 15","4/17/2017","7/12/2017","86","2017.2","MADURO","VERDE","0","13.6","1.7","12.8",""
"A07 V1","ARRA 15","4/17/2017","7/17/2017","91","2017.2","MADURO","VERDE","0.166","15","1.4","14.8",""
"A15 V2","RED GLOBE","3/27/2017","7/17/2017","112","2017.2","MADURO","ROSADA","0.0333","12","0.8","12",""
"B14 V1","CRIMSON","4/3/2017","7/17/2017","105","2017.2","MADURO","VERMELHA","0.683","17.4","0.9","16.2",""
"B14 V2","CRIMSON","4/10/2017","7/17/2017","98","2017.2","MADURO","VERMELHA","0.633","16","1","16.1",""
"A07 V1","ARRA 15","4/17/2017","7/21/2017","95","2017.2","MADURO","VERDE","0.116","15","1.2","14.3",""
"A07 V1","ARRA 15","4/17/2017","7/24/2017","98","2017.2","MADURO","VERDE","0.116","15.1","1.2","14.9",""
"B14 V1","CRIMSON","4/3/2017","7/24/2017","112","2017.2","MADURO","VERMELHA","0.85","18.6","0.7","17.3",""
"B14 V2","CRIMSON","4/10/2017","7/24/2017","105","2017.2","MADURO","VERMELHA","0.933","17.5","0.89","17.8",""
"B14 V1","CRIMSON","4/3/2017","7/25/2017","113","2017.2","VERDE","VERMELHA","1","18.9","0.78","18.4",""
"B14 V2","CRIMSON","4/10/2017","7/25/2017","106","2017.2","VERDE","VERMELHA","0.766","17.2","0.9","16.8",""
" A07 V1","ARRA 15","4/17/2017","7/28/2017","102","2017.2","MADURO","MANCHADA","0.23","16.7","1","16",""
"A07 V1","ARRA 15","4/17/2017","7/28/2017","102","2017.2","MADURO","VERDE","0.25","15.1","1.1","16.2",""
"A07 V1","ARRA 15","4/17/2017","8/1/2017","106","2017.2","MADURO","ÂMBAR","0.583","17.2","1.1","17.3",""
"A07 V1","ARRA 15","4/17/2017","8/1/2017","106","2017.2","MADURO","MANCHADA","0.9","18.3","0.96","18.6",""
"A07 V1","ARRA 15","4/17/2017","8/4/2017","109","2017.2","MADURO","ÂMBAR","0.75","17.5","1","17.8",""
"A07 V2","ARRA 15","4/24/2017","8/4/2017","102","2017.2","MADURO","ÂMBAR","0.483","15.7","1.2","16.3",""
"A07 V2","ARRA 15","4/24/2017","8/7/2017","105","2017.2","MADURO","ÂMBAR","0.824","18.2","1.1","18.3",""
"A07 V1","ARRA 15","4/17/2017","8/10/2017","115","2017.2","MADURO","ÂMBAR","0.666","18.6","0.92","18.1",""
"A07 V2","ARRA 15","4/24/2017","8/10/2017","108","2017.2","MADURO","ÂMBAR","0.916","18","1","18.3",""
"A07 V2","ARRA 15","4/24/2017","8/14/2017","112","2017.2","MADURO","ÂMBAR","0.965","19","0.92","19.6",""
"A07 V3","THOMPSON","5/15/2017","8/14/2017","91","2017.2","MADURO","ÂMBAR","0","12.6","1.4","12.8",""
"B10 V1","ARRA 15","5/16/2017","8/14/2017","90","2017.2","MADURO","ÂMBAR","0.166","15","1.3","15.6",""
"A07 V2","ARRA 15","4/24/2017","8/16/2017","114","2017.2","MADURO","ÂMBAR","0.85","18.6","0.9","18",""
"A07 V3","THOMPSON","5/15/2017","8/18/2017","95","2017.2","MADURO","ÂMBAR","0.116","14","1.1","14.5",""
"B10 V1","ARRA 15","5/16/2017","8/18/2017","94","2017.2","MADURO","VERDE","0.316","16","1.2","15.7",""
"A07 V2","ARRA 15","4/24/2017","8/21/2017","119","2017.2","VERDE","VERDE","0.821","18.2","0.9","19.1",""
"A07 V3","THOMPSON","5/15/2017","8/21/2017","98","2017.2","MADURO","VERDE","0.133","15","1","15.1",""
"A09 V1","ARRA 15","5/23/2017","8/21/2017","90","2017.2","MADURO","VERDE","0","12.8","1.7","13.2",""
"B10 V1","ARRA 15","5/16/2017","8/21/2017","97","2017.2","MADURO","VERDE","0.55","17","1","16.8",""
"B11 V1","SUGRAONE","5/30/2017","8/21/2017","83","2017.2","MADURO","VERDE","0","10.8","0.9","10.1",""
"B13 V1","SUGRAONE","5/29/2017","8/21/2017","84","2017.2","MADURO","VERDE","0.0166","11.8","0.9","11.3",""
"B05 V1","CRIMSON","5/8/2017","8/23/2017","107","2017.2","MADURO","VERMELHA","0.95","18","0.86","17.4",""
"B05 V2","CRIMSON","5/10/2017","8/23/2017","105","2017.2","MADURO","VERMELHA","0.933","17.4","0.9","16.6",""
"B07 V1","SABLE","5/24/2017","8/24/2017","92","2017.2","MADURO","PRETA","0.5","16.6","0.7","16.6",""
"A07 V3","THOMPSON","5/15/2017","8/25/2017","102","2017.2","MADURO","ÂMBAR","0.183","16.2","0.91","15.7",""
"A09 V1","ARRA 15","5/23/2017","8/25/2017","94","2017.2","MADURO","ÂMBAR","0.0166","14","1.4","13.6",""
"B10 V1","ARRA 15","5/16/2017","8/25/2017","101","2017.2","MADURO","ÂMBAR","0.783","18.2","0.86","17.6",""
"B11 V1","SUGRAONE","5/30/2017","8/25/2017","87","2017.2","MADURO","ÂMBAR","0","12","0.71","11.3",""
"B13 V1","SUGRAONE","5/29/2017","8/25/2017","88","2017.2","MADURO","ÂMBAR","0.0833","12.6","0.64","12.9",""
"B10 V1 ","ARRA 15","5/16/2017","8/28/2017","104","2017.2","MADURO","ÂMBAR","0.95","19.2","0.77","19",""
"A07 V3","THOMPSON","5/15/2017","8/28/2017","105","2017.2","MADURO","ÂMBAR","0.35","16.8","0.9","16.2",""
"A09 V1","ARRA 15","5/23/2017","8/28/2017","97","2017.2","MADURO","ÂMBAR","0.116","15.2","1.2","15",""
"B11 V1","SUGRAONE","5/30/2017","8/28/2017","90","2017.2","MADURO","ÂMBAR","0.0166","12.8","0.6","12.5",""
"B13 V1","SUGRAONE","5/29/2017","8/28/2017","91","2017.2","MADURO","ÂMBAR","0.1","13","0.69","13.6",""
"B05 V1","CRIMSON","5/8/2017","8/29/2017","113","2017.2","MADURO","VERMELHA","0.933","18.6","0.72","17.4",""
"B05 V2","CRIMSON","5/10/2017","8/29/2017","111","2017.2","MADURO","VERMELHA","1","18.4","0.71","17.2",""
"B07 V1","SABLE","5/24/2017","8/29/2017","97","2017.2","MADURO","PRETA","0.516","17.6","0.62","16.7",""
"A07 V3","THOMPSON","5/15/2017","8/30/2017","107","2017.2","MADURO","ÂMBAR","0.433","17","0.86","16.4",""
"A09 V1","ARRA 15","5/23/2017","8/30/2017","99","2017.2","MADURO","ÂMBAR","0.1","15.8","1.2","14.9",""
"B07 V1","SABLE","5/24/2017","8/30/2017","98","2017.2","MADURO","PRETA","0.766","18.4","0.6","17.3",""
"B10 V1","ARRA 15","5/16/2017","8/30/2017","106","2017.2","MADURO","ÂMBAR","0.85","19.2","0.81","18.8",""
"B11 V1","SUGRAONE","5/30/2017","8/30/2017","92","2017.2","MADURO","ÂMBAR","0.0333","13","0.55","12.2",""
"B13 V1","SUGRAONE","5/29/2017","8/30/2017","93","2017.2","MADURO","ÂMBAR","0.0333","13","0.54","12.7",""
"A07 V3","THOMPSON","5/15/2017","9/1/2017","109","2017.2","MADURO","ÂMBAR","0.8","18.2","0.78","17.4",""
"A09 V1","ARRA 15","5/23/2017","9/1/2017","101","2017.2","MADURO","ÂMBAR","0.333","15.6","1.1","15.7",""
"B05 V1","CRIMSON","5/8/2017","9/1/2017","116","2017.2","MADURO","VERMELHA","0.966","19","0.68","18.2",""
"B05 V2","CRIMSON","5/10/2017","9/1/2017","114","2017.2","MADURO","VERMELHA","0.983","17.8","0.69","17.8",""
"B07 V1","SABLE","5/24/2017","9/1/2017","100","2017.2","MADURO","PRETA","0.783","18","0.62","18",""
"B10 V1","ARRA 15","5/16/2017","9/1/2017","108","2017.2","MADURO","ÂMBAR","0.866","19","0.78","18.5",""
"B11 V1","SUGRAONE","5/30/2017","9/1/2017","94","2017.2","MADURO","ÂMBAR","0.0666","13.2","0.54","12.6",""
"B13 V1","SUGRAONE","5/29/2017","9/1/2017","95","2017.2","MADURO","ÂMBAR","0.166","13.4","0.54","12.7",""
"A07 V3","THOMPSON","5/15/2017","9/4/2017","112","2017.2","MADURO","ÂMBAR","0.7166","18","0.69","17.6",""
"A09 V1","ARRA 15","5/23/2017","9/4/2017","104","2017.2","MADURO","ÂMBAR","0.3","16","1","15.9",""
"B05 V1","CRIMSON","5/8/2017","9/4/2017","119","2017.2","MADURO","VERMELHA","0.9833","19","0.69","19.3",""
"B05 V2","CRIMSON","5/10/2017","9/4/2017","117","2017.2","MADURO","VERMELHA","1","18.4","0.67","17.9",""
"B07 V1","SABLE","5/24/2017","9/4/2017","103","2017.2","MADURO","PRETA","0.966","18.2","0.52","18.6",""
"B10 V1","ARRA 15","5/16/2017","9/4/2017","111","2017.2","MADURO","VERMELHA","1","20","0.71","20.2",""
"B11 V1","SUGRAONE","5/30/2017","9/4/2017","97","2017.2","MADURO","ÂMBAR","0.316","14","0.52","13.9",""
"B13 V1","SUGRAONE","5/29/2017","9/4/2017","98","2017.2","MADURO","ÂMBAR","0.133","13.4","0.51","13",""
"A02 V1 E V2","SUGRAONE","6/9/2017","9/5/2017","88","2017.2","MADURO","VERDE","0","12.2","0.66","11.3",""
"A09 V2 E V3","ARRA 15","5/31/2017","9/5/2017","97","2017.2","MADURO","VERDE","0.0833","14.2","1.33","14.4",""
"B09 V2","CRIMSON","5/23/2017","9/5/2017","105","2017.2","MADURO","VERMELHA","0.466","16.4","0.82","15.9",""
"B15 V2","THOMPSON","6/2/2017","9/5/2017","95","2017.2","MADURO","VERDE","0","12.4","1.6","11.8",""
"A07 V3","THOMPSON","5/15/2017","9/8/2017","116","2017.2","MADURO","ÂMBAR","0.7","17.4","0.68","17.5",""
"A07 V3","THOMPSON","5/15/2017","9/8/2017","116","2017.2","VERDE","VERDE","0.233","15","0.69","15.2",""
"B07 V1","SABLE","5/24/2017","9/8/2017","107","2017.2","VERDE","PRETA","0.783","18.6","0.52","17.6",""
"B13 V1","SUGRAONE","5/29/2017","9/8/2017","102","2017.2","MADURO","ÂMBAR","0.333","14","0.54","13.9",""
"B13 V1","SUGRAONE","5/29/2017","9/8/2017","102","2017.2","VERDE","VERDE","0.0666","12.2","0.55","12.2",""
"A09 V1","ARRA 15","5/23/2017","9/9/2017","109","2017.2","MADURO","VERDE","0.466","17.5","0.93","16.4",""
"A09 V1","ARRA 15","5/23/2017","9/9/2017","109","2017.2","VERDE","VERDE","0.266","15","1","15.6",""
"B05 V1","CRIMSON","5/8/2017","9/9/2017","124","2017.2","MADURO","VERMELHA","1","20","0.65","19.6",""
"B05 V2","CRIMSON","5/10/2017","9/9/2017","122","2017.2","MADURO","VERMELHA","1","20","0.67","19.6",""
"B11 V1","SUGRAONE","5/30/2017","9/9/2017","102","2017.2","VERDE","ÂMBAR","0.0833","12","0.46","11.6",""
"B11 V1","SUGRAONE","5/30/2017","9/9/2017","102","2017.2","MADURO","ÂMBAR","0.283","14","0.5","13.7",""
"A02 V1 E V2","SUGRAONE","6/9/2017","9/11/2017","94","2017.2","VERDE","VERDE","0.166","10","0.69","10",""
"A02 V1 E V2","SUGRAONE","6/9/2017","9/11/2017","94","2017.2","MADURO","VERDE","0.25","12.8","0.52","12.5",""
"A09 V1","ARRA 15","5/23/2017","9/11/2017","111","2017.2","MADURO","VERDE","0.55","17","0.86","16.7",""
"A09 V1","ARRA 15","5/23/2017","9/11/2017","111","2017.2","VERDE","VERDE","0.2166","16.2","0.99","15.2",""
"A09 V2 E V3","ARRA 15","5/31/2017","9/11/2017","103","2017.2","MADURO","VERDE","0.0666","15","1.14","14.6",""
"A09 V2 E V3","ARRA 15","5/31/2017","9/11/2017","103","2017.2","VERDE","VERDE","0","12.6","1.42","12.5",""
"B07 V1","SABLE","6/5/2017","9/11/2017","98","2017.2","MADURO","PRETA","0.833","15.6","0.73","15",""
"B07 V2","SABLE","6/8/2017","9/11/2017","95","2017.2","VERDE","PRETA","0.05","15","0.86","13.9",""
"B07 V1","SABLE","6/5/2017","9/11/2017","98","2017.2","VERDE","PRETA","0.0333","13.6","0.81","13.4",""
"B07 V2","SABLE","6/8/2017","9/11/2017","95","2017.2","MADURO","PRETA","0.1166","15.4","0.72","14.9",""
"A09 V1","ARRA 15","5/23/2017","9/13/2017","113","2017.2","MADURO","ÂMBAR","0.5333","17.6","0.89","16.8",""
"A09 V1","ARRA 15","5/23/2017","9/13/2017","113","2017.2","MADURO","MANCHADA","0.05","14.2","1.13","13.6",""
"A09 V1","ARRA 15","5/23/2017","9/15/2017","115","2017.2","MADURO","MANCHADA","0.647","18","0.85","17.1",""
"B11 V1","SUGRAONE","5/30/2017","9/15/2017","108","2017.2","MADURO","ÂMBAR","0.216","14","0.48","13.4",""
"B13 V1","SUGRAONE","5/29/2017","9/15/2017","109","2017.2","MADURO","ÂMBAR","0.516","14.6","0.48","14.4",""
"B07 V2","SABLE","6/8/2017","9/15/2017","99","2017.2","MADURO","PRETA","0.116","16","0.71","15.4",""
