"AREA","VARIEDADE","DATA DE PODA","DATA DA AMOSTRA","DIAS POS PODA","OBSERVACOES","ESTADO DO ENGACO","COLORACAO DO CACHO","BRIX ACIMA DO IDEAL","BRIX DO SUCO","ACIDEZ","BRIX","DIAMETRO"
" ","RED GLOBE","42800","42901","101","","MADURO","ROSADA","0.733","13.4","0.77","14.2",""
"B18 V1","BENITAKA M","42786","42901","115","","VERDE","VERMELHA","","16.2","0.92","",""
"B18 V2","BENITAKA M","42786","42901","115","","VERDE","VERMELHA","","15.9","0.93","",""
"B18 V2","BENITAKA M","42786","42901","115","","MADURO","VERMELHA","1","16.2","0.93","16.5",""
"A13 V1","BENITAKA M","42801","42905","104","","MADURO","VERMELHA","0.916","15.4","1.1","14.4",""
"A13 V2","BENITAKA M","42801","42905","104","","MADURO","VERMELHA","0.716","14.8","1.1","14.2",""
"B18 V1","BENITAKA M","42788","42906","118","","MADURO","ROSADA","0.916","15","0.95","15.1",""
"A04 V1","RED GLOBE","42800","42909","109","","MADURO","ROSADA","0.45","14","0.72","13.5",""
"A04 V2","RED GLOBE","42800","42909","109","","MADURO","ROSADA","0.254","15","0.71","12.9",""
"A04 V3","SCARLOTA","42775","42912","137","","MADURO","MESCLADA","0.766","16","0.81","15.5",""
"A04 V4","SCARLOTA","42775","42912","137","","MADURO","MESCLADA","0.616","15","0.78","15",""
"A13 V1 ","BENITAKA M","42800","42913","113","","MADURO","VERMELHA","1","16.4","0.96","15.7",""
"A13 V2","BENITAKA M","42801","42913","112","","MADURO","VERMELHA","1","16.9","0.92","15.9",""
"A04 V1","RED GLOBE","42800","42914","114","","","ROSADA","","","","",""
"A04 V1","RED GLOBE","42800","42914","114","","","","","","","",""
"A04 V2","RED GLOBE","42800","42914","114","","","","","","","",""
"A13 V1","BENITAKA M","42801","42919","118","","MADURO","VERMELHA","1","17.2","0.79","17",""
"A15 V1","RED GLOBE","42821","42919","98","","MADURO","VERMELHA","0.916","15","0.65","15.2",""
"A15 V1","RED GLOBE","42821","42919","98","","MADURO","VERMELHA","0.48","14","0.65","13.6",""
"A15 V1","RED GLOBE","42821","42923","102","","MADURO","VERMELHA","0.636","14.4","0.63","13.9",""
"A07 V1","ARRA 15","42842","42926","84","","MADURO","VERDE","0","12.8","1.8","11.8",""
"A15 V1","RED GLOBE","42821","42926","105","","MADURO","VERMELHA","","","","13",""
"A15 V1","RED GLOBE","42821","42926","105","","MADURO","VERMELHA","","","","13.6",""
"A15 V2","RED GLOBE","42821","42926","105","","MADURO","VERMELHA","0.15","13.4","0.75","12.8",""
"B14 V1","CRIMSON","42828","42926","98","","MADURO","VERMELHA","0.616","16","1","15.8",""
"B14 V2","CRIMSON","42835","42926","91","","MADURO","VERMELHA","0","15","1.2","14.1",""
"A07 V1","ARRA 15","42842","42928","86","","MADURO","VERDE","0","13.6","1.7","12.8",""
"A07 V1","ARRA 15","42842","42933","91","","MADURO","VERDE","0.166","15","1.4","14.8",""
"A15 V2","RED GLOBE","42821","42933","112","","MADURO","ROSADA","0.0333","12","0.8","12",""
"B14 V1","CRIMSON","42828","42933","105","","MADURO","VERMELHA","0.683","17.4","0.9","16.2",""
"B14 V2","CRIMSON","42835","42933","98","","MADURO","VERMELHA","0.633","16","1","16.1",""
"A07 V1","ARRA 15","42842","42937","95","","MADURO","VERDE","0.116","15","1.2","14.3",""
"A07 V1","ARRA 15","42842","42940","98","","MADURO","VERDE","0.116","15.1","1.2","14.9",""
"B14 V1","CRIMSON","42828","42940","112","","MADURO","VERMELHA","0.85","18.6","0.7","17.3",""
"B14 V2","CRIMSON","42835","42940","105","","MADURO","VERMELHA","0.933","17.5","0.89","17.8",""
"B14 V1","CRIMSON","42828","42941","113","","VERDE","VERMELHA","1","18.9","0.78","18.4",""
"B14 V2","CRIMSON","42835","42941","106","","VERDE","VERMELHA","0.766","17.2","0.9","16.8",""
" A07 V1","ARRA 15","42842","42944","102","","MADURO","MANCHADA","0.23","16.7","1","16",""
"A07 V1","ARRA 15","42842","42944","102","OBS: COM MANCHAS","MADURO","VERDE","0.25","15.1","1.1","16.2",""
