AREA;VARIEDADE;DATA DE PODA;DATA DA AMOSTRA;DIAS_POS_PODA;TEXTO DATA;ESTADO DO ENGACO;COLORACAO DO CACHO;BRIX ACIMA DO IDEAL;BRIX DO SUCO;ACIDEZ;BRIX;DIAMETRO
 ;RED GLOBE;06/03/2017;15/06/2017;101;15/06/2017;MADURO;ROSADA;0,73;13,4;0,77;14,2;
B18 V1;BENITAKA M;20/02/2017;15/06/2017;115;15/06/2017;VERDE;VERMELHA;;16,2;0,92;;
B18 V2;BENITAKA M;20/02/2017;15/06/2017;115;15/06/2017;VERDE;VERMELHA;;15,9;0,93;;
B18 V2;BENITAKA M;20/02/2017;15/06/2017;115;15/06/2017;MADURO;VERMELHA;1;16,2;0,93;16,5;
A13 V1;BENITAKA M;07/03/2017;19/06/2017;104;19/06/2017;MADURO;VERMELHA;0,92;15,4;1,1;14,4;
A13 V2;BENITAKA M;07/03/2017;19/06/2017;104;19/06/2017;MADURO;VERMELHA;0,72;14,8;1,1;14,2;
B18 V1;BENITAKA M;22/02/2017;20/06/2017;118;20/06/2017;MADURO;ROSADA;0,92;15;0,95;15,1;
A04 V1;RED GLOBE;06/03/2017;23/06/2017;109;23/06/2017;MADURO;ROSADA;0,45;14;0,72;13,5;
A04 V2;RED GLOBE;06/03/2017;23/06/2017;109;23/06/2017;MADURO;ROSADA;0,25;15;0,71;12,9;
A04 V3;SCARLOTA;09/02/2017;26/06/2017;137;26/06/2017;MADURO;MESCLADA;0,77;16;0,81;15,5;
A04 V4;SCARLOTA;09/02/2017;26/06/2017;137;26/06/2017;MADURO;MESCLADA;0,62;15;0,78;15;
A13 V1 ;BENITAKA M;06/03/2017;27/06/2017;113;27/06/2017;MADURO;VERMELHA;1;16,4;0,96;15,7;
A13 V2;BENITAKA M;07/03/2017;27/06/2017;112;27/06/2017;MADURO;VERMELHA;1;16,9;0,92;15,9;
A04 V1;RED GLOBE;06/03/2017;28/06/2017;114;28/06/2017;;ROSADA;;;;;
A04 V1;RED GLOBE;06/03/2017;28/06/2017;114;28/06/2017;;;;;;;
A04 V2;RED GLOBE;06/03/2017;28/06/2017;114;28/06/2017;;;;;;;
A13 V1;BENITAKA M;07/03/2017;03/07/2017;118;03/07/2017;MADURO;VERMELHA;1;17,2;0,79;17;
A15 V1;RED GLOBE;27/03/2017;03/07/2017;98;03/07/2017;MADURO;VERMELHA;0,92;15;0,65;15,2;
A15 V1;RED GLOBE;27/03/2017;03/07/2017;98;03/07/2017;MADURO;VERMELHA;0,48;14;0,65;13,6;
A15 V1;RED GLOBE;27/03/2017;07/07/2017;102;07/07/2017;MADURO;VERMELHA;0,64;14,4;0,63;13,9;
A07 V1;ARRA 15;17/04/2017;10/07/2017;84;10/07/2017;MADURO;VERDE;0;12,8;1,8;11,8;
A15 V1;RED GLOBE;27/03/2017;10/07/2017;105;10/07/2017;MADURO;VERMELHA;;;;13;
A15 V1;RED GLOBE;27/03/2017;10/07/2017;105;10/07/2017;MADURO;VERMELHA;;;;13,6;
A15 V2;RED GLOBE;27/03/2017;10/07/2017;105;10/07/2017;MADURO;VERMELHA;0,15;13,4;0,75;12,8;
B14 V1;CRIMSON;03/04/2017;10/07/2017;98;10/07/2017;MADURO;VERMELHA;0,62;16;1;15,8;
B14 V2;CRIMSON;10/04/2017;10/07/2017;91;10/07/2017;MADURO;VERMELHA;0;15;1,2;14,1;
A07 V1;ARRA 15;17/04/2017;12/07/2017;86;12/07/2017;MADURO;VERDE;0;13,6;1,7;12,8;
A07 V1;ARRA 15;17/04/2017;17/07/2017;91;17/07/2017;MADURO;VERDE;0,17;15;1,4;14,8;
A15 V2;RED GLOBE;27/03/2017;17/07/2017;112;17/07/2017;MADURO;ROSADA;0,03;12;0,8;12;
B14 V1;CRIMSON;03/04/2017;17/07/2017;105;17/07/2017;MADURO;VERMELHA;0,68;17,4;0,9;16,2;
B14 V2;CRIMSON;10/04/2017;17/07/2017;98;17/07/2017;MADURO;VERMELHA;0,63;16;1;16,1;
A07 V1;ARRA 15;17/04/2017;21/07/2017;95;21/07/2017;MADURO;VERDE;0,12;15;1,2;14,3;
A07 V1;ARRA 15;17/04/2017;24/07/2017;98;24/07/2017;MADURO;VERDE;0,12;15,1;1,2;14,9;
B14 V1;CRIMSON;03/04/2017;24/07/2017;112;24/07/2017;MADURO;VERMELHA;0,85;18,6;0,7;17,3;
B14 V2;CRIMSON;10/04/2017;24/07/2017;105;24/07/2017;MADURO;VERMELHA;0,93;17,5;0,89;17,8;
B14 V1;CRIMSON;03/04/2017;25/07/2017;113;25/07/2017;VERDE;VERMELHA;1;18,9;0,78;18,4;
B14 V2;CRIMSON;10/04/2017;25/07/2017;106;25/07/2017;VERDE;VERMELHA;0,77;17,2;0,9;16,8;
 A07 V1;ARRA 15;17/04/2017;28/07/2017;102;28/07/2017;MADURO;MANCHADA;23;16,7;1;16;
A07 V1;ARRA 15;17/04/2017;28/07/2017;102;28/07/2017;MADURO;VERDE;0,25;15,1;1,1;16,2;
A07 V1;ARRA 15;17/04/2017;01/08/2017;106;01/08/2017;MADURO;¶MBAR;0,58;17,2;1,1;17,3;
A07 V1;ARRA 15;17/04/2017;01/08/2017;106;01/08/2017;MADURO;MANCHADA;0,9;18,3;0,96;18,6;
A07 V1;ARRA 15;17/04/2017;04/08/2017;109;04/08/2017;MADURO;¶MBAR;0,75;17,5;1;17,8;
A07 V2;ARRA 15;24/04/2017;04/08/2017;102;04/08/2017;MADURO;¶MBAR;0,48;15,7;1,2;16,3;
A07 V2;ARRA 15;24/04/2017;07/08/2017;105;07/08/2017;MADURO;¶MBAR;0,82;18,2;1,1;18,3;
A07 V1;ARRA 15;17/04/2017;10/08/2017;115;10/08/2017;MADURO;¶MBAR;0,67;18,6;0,92;18,1;
A07 V2;ARRA 15;24/04/2017;10/08/2017;108;10/08/2017;MADURO;¶MBAR;0,92;18;1;18,3;
A07 V2;ARRA 15;24/04/2017;14/08/2017;112;14/08/2017;MADURO;¶MBAR;96.5%;19;0,92;19,6;
A07 V3;THOMPSON;15/05/2017;14/08/2017;91;14/08/2017;MADURO;¶MBAR;0;12,6;1,4;12,8;
B10 V1;ARRA 15;16/05/2017;14/08/2017;90;14/08/2017;MADURO;¶MBAR;16.6%;15;1,3;15,6;
A07 V2;ARRA 15;24/04/2017;16/08/2017;114;16/08/2017;MADURO;¶MBAR;0,85;18,6;9;18;
A07 V3;THOMPSON;15/05/2017;18/08/2017;95;18/08/2017;MADURO;¶MBAR;0,12;14;1,1;14,5;
B10 V1;ARRA 15;16/05/2017;18/08/2017;94;18/08/2017;MADURO;VERDE;0,32;16;1,2;15,7;
A07 V2;ARRA 15;24/04/2017;21/08/2017;119;21/08/2017;VERDE;VERDE;0,82;18,2;0,9;19,1;
A07 V3;THOMPSON;15/05/2017;21/08/2017;98;21/08/2017;MADURO;VERDE;0,13;15;1;15,1;
A09 V1;ARRA 15;23/05/2017;21/08/2017;90;21/08/2017;MADURO;VERDE;0;12,8;1,7;13,2;
B10 V1;ARRA 15;16/05/2017;21/08/2017;97;21/08/2017;MADURO;VERDE;0,55;17;1;16,8;
B 11 V1;SUGRAONE;30/05/2017;21/08/2017;83;21/08/2017;MADURO;VERDE;0;10,8;0,9;10,1;
B 13 V1;SUGRAONE;29/05/2017;21/08/2017;84;21/08/2017;MADURO;VERDE;0,02;11,8;0,9;11,3;
B05 V1;CRIMSON;08/05/2017;23/08/2017;107;23/08/2017;MADURO;VERMELHA;0,95;18;0,86;17,4;
B05 V2;CRIMSON;10/05/2017;23/08/2017;105;23/08/2017;MADURO;VERMELHA;0,93;17,4;0,9;16,6;
B07 V1;SABLE;24/05/2017;24/08/2017;92;24/08/2017;MADURO;PRETA;0,5;16,6;0,7;16,6;
A07 V3;THOMPSON;15/05/2017;25/08/2017;102;25/08/2017;MADURO;¶MBAR;0,18;16,2;0,91;15,7;
A09 V1;ARRA 15;23/05/2017;25/08/2017;94;25/08/2017;MADURO;¶MBAR;0,02;14;1,4;13,6;
B10 V1;ARRA 15;16/05/2017;25/08/2017;101;25/08/2017;MADURO;¶MBAR;0,78;18,2;0,86;17,6;
B 11 V 1;SUGRAONE;30/05/2017;25/08/2017;87;25/08/2017;MADURO;¶MBAR;0;12;0,71;11,3;
B 13 V 1;SUGRAONE;29/05/2017;25/08/2017;88;25/08/2017;MADURO;¶MBAR;0,08;12,6;0,64;12,9;
B10 V1 ;ARRA 15;16/05/2017;28/08/2017;104;28/08/2017;MADURO;¶MBAR;0,95;19,2;0,77;19;
A07 V3;THOMPSON;15/05/2017;28/08/2017;105;28/08/2017;MADURO;¶MBAR;0,35;16,8;0,9;16,2;
A09 V1;ARRA 15;23/05/2017;28/08/2017;97;28/08/2017;MADURO;¶MBAR;0,12;15,2;1,2;15;
B 11 V 1;SUGRAONE;30/05/2017;28/08/2017;90;28/08/2017;MADURO;¶MBAR;0,02;12,8;0,6;12,5;
B 13 V 1;SUGRAONE;29/05/2017;28/08/2017;91;28/08/2017;MADURO;¶MBAR;0,1;13;0,69;13,6;
B05 V1;CRIMSON;08/05/2017;29/08/2017;113;29/08/2017;MADURO;VERMELHA;0,93;18,6;0,72;17,4;
B05 V2;CRIMSON;10/05/2017;29/08/2017;111;29/08/2017;MADURO;VERMELHA;1;18,4;0,71;17,2;
B07 V1;SABLE;24/05/2017;29/08/2017;97;29/08/2017;MADURO;PRETA;0,52;17,6;0,62;16,7;
A07 V3;THOMPSON;15/05/2017;30/08/2017;107;30/08/2017;;¶MBAR;0,43;17;0,86;16,4;
A09 V1;ARRA 15;23/05/2017;30/08/2017;99;30/08/2017;;¶MBAR;0,1;15,8;1,2;14,9;
B07 V1;SABLE;24/05/2017;30/08/2017;98;30/08/2017;;PRETA;0,77;18,4;0,6;17,3;
B10 V1;ARRA 15;16/05/2017;30/08/2017;106;30/08/2017;;¶MBAR;0,85;19,2;0,81;18,8;
B 11 V 1;SUGRAONE;30/05/2017;30/08/2017;92;30/08/2017;;¶MBAR;0,03;13;0,55;12,2;
B 13 V 1;SUGRAONE;29/05/2017;30/08/2017;93;30/08/2017;;¶MBAR;0,03;13;0,54;12,7;
A07 V3;THOMPSON;15/05/2017;01/09/2017;109;01/09/2017;MADURO;¶MBAR;0,8;18,2;0,78;17,4;
A09 V1;ARRA 15;23/05/2017;01/09/2017;101;01/09/2017;MADURO;¶MBAR;0,33;15,6;1,1;15,7;
B05 V1;CRIMSON;08/05/2017;01/09/2017;116;01/09/2017;MADURO;VERMELHA;0,97;19;0,68;18,2;
B05 V2;CRIMSON;10/05/2017;01/09/2017;114;01/09/2017;MADURO;VERMELHA;0,98;17,8;0,69;17,8;
B07 V1;SABLE;24/05/2017;01/09/2017;100;01/09/2017;MADURO;PRETA;0,78;18;0,62;18;
B10 V1;ARRA 15;16/05/2017;01/09/2017;108;01/09/2017;MADURO;¶MBAR;0,87;19;0,78;18,5;
B 11 V 1;SUGRAONE;30/05/2017;01/09/2017;94;01/09/2017;MADURO;¶MBAR;0,07;13,2;0,54;12,6;
B 13 V 1;SUGRAONE;29/05/2017;01/09/2017;95;01/09/2017;MADURO;¶MBAR;0,17;13,4;0,54;12,7;
A07 V3;THOMPSON;15/05/2017;04/09/2017;112;04/09/2017;MADURO;¶MBAR;0,72;18;0,69;17,6;
A09 V1;ARRA 15;23/05/2017;04/09/2017;104;04/09/2017;MADURO;¶MBAR;0,3;16;1;15,9;
B05 V1;CRIMSON;08/05/2017;04/09/2017;119;04/09/2017;MADURO;VERMELHA;0,98;19;0,69;19,3;
B05 V2;CRIMSON;10/05/2017;04/09/2017;117;04/09/2017;MADURO;VERMELHA;1;18,4;0,67;17,9;
B07 V1;SABLE;24/05/2017;04/09/2017;103;04/09/2017;MADURO;PRETA;0,97;18,2;0,52;18,6;
B10 V1;ARRA 15;16/05/2017;04/09/2017;111;04/09/2017;MADURO;VERMELHA;1;20;0,71;20,2;
B 11 V 1;SUGRAONE;30/05/2017;04/09/2017;97;04/09/2017;MADURO;¶MBAR;0,32;14;0,52;13,9;
B 13 V 1;SUGRAONE;29/05/2017;04/09/2017;98;04/09/2017;MADURO;¶MBAR;0,13;13,4;0,51;13;
A02 V1 E V2;SUGRAONE;09/06/2017;05/09/2017;88;05/09/2017;MADURO;VERDE;0;12,2;0,66;11,3;
A09 V2 E V3;ARRA 15;31/05/2017;05/09/2017;97;05/09/2017;MADURO;VERDE;0,08;14,2;1,33;14,4;
B09 V2;CRIMSON;23/05/2017;05/09/2017;105;05/09/2017;MADURO;VERMELHA;0,47;16,4;0,82;15,9;
B15 V2;THOMPSON;02/06/2017;05/09/2017;95;05/09/2017;MADURO;VERDE;0;12,4;1,6;11,8;
A07 V3;THOMPSON;15/05/2017;08/09/2017;116;08/09/2017;MADURO;¶MBAR;0,7;17,4;0,68;17,5;
A07 V3;THOMPSON;15/05/2017;08/09/2017;116;08/09/2017;VERDE;VERDE;0,23;15;0,69;15,2;
B07 V1;SABLE;24/05/2017;08/09/2017;107;08/09/2017;VERDE;PRETA;0,78;18,6;0,52;17,6;
B 13 V 1;SUGRAONE;29/05/2017;08/09/2017;102;08/09/2017;MADURO;¶MBAR;0,33;14;0,54;13,9;
B 13 V 1;SUGRAONE;29/05/2017;08/09/2017;102;08/09/2017;VERDE;VERDE;0,07;12,2;0,55;12,2;
A09 V1;ARRA 15;23/05/2017;09/09/2017;109;09/09/2017;MADURO;VERDE;0,47;17,5;0,93;16,4;
A09 V1;ARRA 15;23/05/2017;09/09/2017;109;09/09/2017;VERDE;VERDE;0,27;15;1;15,6;
B05 V1;CRIMSON;08/05/2017;09/09/2017;124;09/09/2017;MADURO;VERMELHA;1;20;0,65;19,6;
B05 V2;CRIMSON;10/05/2017;09/09/2017;122;09/09/2017;MADURO;VERMELHA;1;20;0,67;19,6;
B 11 V 1;SUGRAONE;30/05/2017;09/09/2017;102;09/09/2017;VERDE;¶MBAR;0,08;12;0,46;11,6;
